VJAVKW_DT,VJAVKW,TTOKM
2018-04-30,201818,38090.0
2018-05-07,201819,36633.0
2018-05-14,201820,44125.0
2018-05-21,201821,35432.0
2018-05-28,201822,38416.0
2018-06-04,201823,42065.0
2018-06-11,201824,45140.0
2018-06-18,201825,44143.0
2018-06-25,201826,40505.0
2018-07-02,201827,42658.0
2018-07-09,201828,43441.0
2018-07-16,201829,42123.0
2018-07-23,201830,39126.0
2018-07-30,201831,34399.0
2018-08-06,201832,28739.0
2018-08-13,201833,26111.0
2018-08-20,201834,37618.0
2018-08-27,201835,39496.0
2018-09-03,201836,39376.0
2018-09-10,201837,40841.0
2018-09-17,201838,43612.0
2018-09-24,201839,37630.0
2018-10-01,201840,44850.0
2018-10-08,201841,45720.0
2018-10-15,201842,41491.0
2018-10-22,201843,36054.0
2018-10-29,201844,31952.0
2018-11-05,201845,41890.0
2018-11-12,201846,43491.0
2018-11-19,201847,40966.0
2018-11-26,201848,40233.0
2018-12-03,201849,39535.0
2018-12-10,201850,36682.0
2018-12-17,201851,21363.0
2018-12-24,201852,2387.0
2019-01-07,201901,11404.0
2019-01-14,201902,31571.0
2019-01-21,201903,34474.0
2019-01-28,201904,43584.0
2019-02-04,201905,36046.0
2019-02-11,201906,39211.0
2019-02-18,201907,41546.0
2019-02-25,201908,41580.0
2019-03-04,201909,40669.0
2019-03-11,201910,42087.0
2019-03-18,201911,36166.0
2019-03-25,201912,34170.0
2019-04-01,201913,35049.0
2019-04-08,201914,37840.0
2019-04-15,201915,38538.0
2019-04-22,201916,32605.0
2019-04-29,201917,29765.0
2019-05-06,201918,29408.0
2019-05-13,201919,33851.0
2019-05-20,201920,39427.0
2019-05-27,201921,36555.0
2019-06-03,201922,31519.0
2019-06-10,201923,31399.0
2019-06-17,201924,35185.0
2019-06-24,201925,29057.0
2019-07-01,201926,32576.0
2019-07-08,201927,30209.0
2019-07-15,201928,35275.0
2019-07-22,201929,37860.0
2019-07-29,201930,32076.0
2019-08-05,201931,27513.0
2019-08-12,201932,21586.0
2019-08-19,201933,21881.0
2019-08-26,201934,31577.0
2019-09-02,201935,32986.0
2019-09-09,201936,37955.0
2019-09-16,201937,37303.0
2019-09-23,201938,36989.0
2019-09-30,201939,33067.0
2019-10-07,201940,34017.0
2019-10-14,201941,37877.0
2019-10-21,201942,38456.0
2019-10-28,201943,34518.0
2019-11-04,201944,27273.0
2019-11-11,201945,33068.0
2019-11-18,201946,35018.0
2019-11-25,201947,36744.0
2019-12-02,201948,32714.0
2019-12-09,201949,37532.0
2019-12-16,201950,41502.0
2019-12-23,201951,22566.0
2019-12-30,201952,3787.0
2020-01-06,202001,5802.0
2020-01-13,202002,28925.0
2020-01-20,202003,38289.0
2020-01-27,202004,42270.0
2020-02-03,202005,40875.0
2020-02-10,202006,38833.0
2020-02-17,202007,38442.0
2020-02-24,202008,35213.0
2020-03-02,202009,32655.0
2020-03-09,202010,35621.0
2020-03-16,202011,36460.0
2020-03-23,202012,38988.0
2020-03-30,202013,26309.0
2020-04-06,202014,25769.0
2020-04-13,202015,21929.0
2020-04-20,202016,19053.0
2020-04-27,202017,22892.0
2020-05-04,202018,22617.0
2020-05-11,202019,30024.0
2020-05-18,202020,28558.0
2020-05-25,202021,25234.0
2020-06-01,202022,25355.0
2020-06-08,202023,23989.0
2020-06-15,202024,24939.0
2020-06-22,202025,30131.0
2020-06-29,202026,26557.0
2020-07-06,202027,24545.0
2020-07-13,202028,25092.0
2020-07-20,202029,30376.0
2020-07-27,202030,31870.0
2020-08-03,202031,29530.0
2020-08-10,202032,22118.0
2020-08-17,202033,23796.0
2020-08-24,202034,27110.0
2020-08-31,202035,29751.0
2020-09-07,202036,33614.0
2020-09-14,202037,36111.0
2020-09-21,202038,35124.0
2020-09-28,202039,34658.0
2020-10-05,202040,33000.0
2020-10-12,202041,32979.0
2020-10-19,202042,35793.0
2020-10-26,202043,33790.0
2020-11-02,202044,29445.0
2020-11-09,202045,31435.0
