VJAVKW_DT,VJAVKW,TTOKM
2013-01-07,201301,30875.0
2013-01-14,201302,47698.0
2013-01-21,201303,48939.0
2013-01-28,201304,49682.0
2013-02-04,201305,51654.0
2013-02-11,201306,51549.0
2013-02-18,201307,49359.0
2013-02-25,201308,52880.0
2013-03-04,201309,55800.0
2013-03-11,201310,50186.0
2013-03-18,201311,55639.0
2013-03-25,201312,62608.0
2013-04-01,201313,57129.0
2013-04-08,201314,63626.0
2013-04-15,201315,74078.0
2013-04-22,201316,72146.0
2013-04-29,201317,72345.0
2013-05-06,201318,59580.0
2013-05-13,201319,61558.0
2013-05-20,201320,64065.0
2013-05-27,201321,57267.0
2013-06-03,201322,61623.0
2013-06-10,201323,55299.0
2013-06-17,201324,63534.0
2013-06-24,201325,71696.0
2013-07-01,201326,76748.0
2013-07-08,201327,71289.0
2013-07-15,201328,70261.0
2013-07-22,201329,75685.0
2013-07-29,201330,72115.0
2013-08-05,201331,59361.0
2013-08-12,201332,63554.0
2013-08-19,201333,63611.0
2013-08-26,201334,66680.0
2013-09-02,201335,65666.0
2013-09-09,201336,58604.0
2013-09-16,201337,63672.0
2013-09-23,201338,70624.0
2013-09-30,201339,60192.0
2013-10-07,201340,59196.0
2013-10-14,201341,61858.0
2013-10-21,201342,64336.0
2013-10-28,201343,64105.0
2013-11-04,201344,54703.0
2013-11-11,201345,67503.0
2013-11-18,201346,58185.0
2013-11-25,201347,69678.0
2013-12-02,201348,65684.0
2013-12-09,201349,68079.0
2013-12-16,201350,69576.0
2013-12-23,201351,63942.0
2013-12-30,201352,28109.0
2014-01-06,201401,44124.0
2014-01-13,201402,55624.0
2014-01-20,201403,65985.0
2014-01-27,201404,72352.0
2014-02-03,201405,64500.0
2014-02-10,201406,51901.0
2014-02-17,201407,67147.0
2014-02-24,201408,70540.0
2014-03-03,201409,69664.0
2014-03-10,201410,65945.0
2014-03-17,201411,70352.0
2014-03-24,201412,69592.0
2014-03-31,201413,75684.0
2014-04-07,201414,74464.0
2014-04-14,201415,67061.0
2014-04-21,201416,65919.0
2014-04-28,201417,67038.0
2014-05-05,201418,67700.0
2014-05-12,201419,69017.0
2014-05-19,201420,67893.0
2014-05-26,201421,73267.0
2014-06-02,201422,68152.0
2014-06-09,201423,66938.0
2014-06-16,201424,64271.0
2014-06-23,201425,63714.0
2014-06-30,201426,67394.0
2014-07-07,201427,64686.0
2014-07-14,201428,65730.0
2014-07-21,201429,64780.0
2014-07-28,201430,60459.0
2014-08-04,201431,55398.0
2014-08-11,201432,58066.0
2014-08-18,201433,52208.0
2014-08-25,201434,66139.0
2014-09-01,201435,70180.0
2014-09-08,201436,64408.0
2014-09-15,201437,63404.0
2014-09-22,201438,67589.0
2014-09-29,201439,70544.0
2014-10-06,201440,66575.0
2014-10-13,201441,61590.0
2014-10-20,201442,68947.0
2014-10-27,201443,61860.0
2014-11-03,201444,63461.0
2014-11-10,201445,60897.0
2014-11-17,201446,60303.0
2014-11-24,201447,62905.0
2014-12-01,201448,72245.0
2014-12-08,201449,63665.0
2014-12-15,201450,66803.0
2014-12-22,201451,56075.0
2014-12-29,201452,33616.0
2015-01-05,201501,17348.0
2015-01-12,201502,50783.0
2015-01-19,201503,66947.0
2015-01-26,201504,69379.0
2015-02-02,201505,69199.0
2015-02-09,201506,64916.0
2015-02-16,201507,69529.0
2015-02-23,201508,62463.0
2015-03-02,201509,53655.0
2015-03-09,201510,61625.0
2015-03-16,201511,61828.0
2015-03-23,201512,60586.0
2015-03-30,201513,60185.0
2015-04-06,201514,58843.0
2015-04-13,201515,58618.0
2015-04-20,201516,71043.0
2015-04-27,201517,69637.0
2015-05-04,201518,66031.0
2015-05-11,201519,71538.0
2015-05-18,201520,64813.0
2015-05-25,201521,64662.0
2015-06-01,201522,62506.0
2015-06-08,201523,55322.0
2015-06-15,201524,58338.0
2015-06-22,201525,60659.0
2015-06-29,201526,67287.0
2015-07-06,201527,60190.0
2015-07-13,201528,60144.0
2015-07-20,201529,56164.0
2015-07-27,201530,49001.0
2015-08-03,201531,55785.0
2015-08-10,201532,54733.0
2015-08-17,201533,50976.0
2015-08-24,201534,47991.0
2015-08-31,201535,52851.0
2015-09-07,201536,50868.0
2015-09-14,201537,51323.0
2015-09-21,201538,50574.0
2015-09-28,201539,54541.0
2015-10-05,201540,56106.0
2015-10-12,201541,50112.0
2015-10-19,201542,51083.0
2015-10-26,201543,49967.0
2015-11-02,201544,48714.0
2015-11-09,201545,58223.0
2015-11-16,201546,56027.0
2015-11-23,201547,53627.0
2015-11-30,201548,59916.0
2015-12-07,201549,59180.0
2015-12-14,201550,60720.0
2015-12-21,201551,61706.0
2015-12-28,201552,37160.0
2016-01-04,201553,23527.0
2016-01-04,201601,47071.0
2016-01-11,201602,62762.0
2016-01-18,201603,59699.0
2016-01-25,201604,62865.0
2016-02-01,201605,54344.0
2016-02-08,201606,63040.0
2016-02-15,201607,63625.0
2016-02-22,201608,66849.0
2016-02-29,201609,53280.0
2016-03-07,201610,48616.0
2016-03-14,201611,53470.0
2016-03-21,201612,50554.0
2016-03-28,201613,42492.0
2016-04-04,201614,50991.0
2016-04-11,201615,46999.0
2016-04-18,201616,45751.0
2016-04-25,201617,48463.0
2016-05-02,201618,56907.0
2016-05-09,201619,53101.0
2016-05-16,201620,55359.0
2016-05-23,201621,47828.0
2016-05-30,201622,54935.0
2016-06-06,201623,61605.0
2016-06-13,201624,60781.0
2016-06-20,201625,58778.0
2016-06-27,201626,56155.0
2016-07-04,201627,58768.0
2016-07-11,201628,64322.0
2016-07-18,201629,59220.0
